"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2024","342,16","344,90","389,00","336,56","71,47M","-1,10%"
"01.11.2024","345,97","296,79","377,42","295,08","76,78M","16,54%"
"01.10.2024","296,87","282,26","323,94","272,67","78,64M","5,85%"
"01.09.2024","280,47","275,78","302,16","242,25","87,59M","1,15%"
"01.08.2024","277,28","232,00","285,73","200,81","142,68M","19,54%"
"01.07.2024","231,96","385,28","398,33","226,22","250,91M","-39,47%"
"01.06.2024","383,19","319,37","394,64","303,51","167,06M","22,16%"
"01.05.2024","313,67","290,44","358,84","288,55","63,31M","7,22%"
"01.04.2024","292,54","321,00","325,99","280,88","46,21M","-8,75%"
"01.03.2024","320,59","319,25","365,00","289,80","103,72M","-1,10%"
"01.02.2024","324,15","296,14","338,45","273,16","68,13M","10,82%"
"01.01.2024","292,50","251,47","307,55","238,61","71,59M","14,56%"
"01.12.2023","255,32","235,72","261,81","229,80","55,37M","7,73%"
"01.11.2023","236,99","178,12","238,48","174,81","75,25M","34,07%"
"01.10.2023","176,77","168,00","191,99","160,86","66,17M","5,61%"
"01.09.2023","167,38","163,12","172,64","157,59","60,22M","2,67%"
"01.08.2023","163,03","161,00","166,99","140,52","85,11M","0,85%"
"01.07.2023","161,66","147,18","163,41","139,37","66,93M","10,07%"
"01.06.2023","146,87","146,72","162,25","141,35","91,65M","-8,28%"
"01.05.2023","160,13","118,56","161,79","115,67","87,84M","33,39%"
"01.04.2023","120,05","135,50","140,21","119,42","68,16M","-12,54%"
"01.03.2023","137,26","120,23","138,33","118,15","135,80M","13,73%"
"01.02.2023","120,69","105,90","123,24","105,10","83,32M","13,97%"
"01.01.2023","105,90","107,50","109,01","92,25","110,88M","0,58%"
