"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2024","891,32","887,51","941,75","884,12","57,21M","0,51%"
"01.11.2024","886,81","753,48","908,00","747,77","64,16M","17,30%"
"01.10.2024","756,03","713,64","773,00","677,88","85,34M","6,59%"
"01.09.2024","709,27","700,10","725,26","660,80","53,11M","1,13%"
"01.08.2024","701,35","629,25","711,33","587,04","67,32M","11,62%"
"01.07.2024","628,35","674,89","697,49","617,00","80,92M","-6,89%"
"01.06.2024","674,88","645,22","689,88","626,44","54,27M","5,18%"
"01.05.2024","641,62","547,84","664,25","544,25","69,00M","16,52%"
"01.04.2024","550,64","608,00","639,00","542,01","94,01M","-9,33%"
"01.03.2024","607,33","599,81","634,39","592,00","60,15M","0,73%"
"01.02.2024","602,92","567,02","605,36","549,00","71,66M","6,88%"
"01.01.2024","564,11","483,18","579,64","461,86","145,92M","15,86%"
"01.12.2023","486,88","473,17","500,89","445,73","80,42M","2,72%"
"01.11.2023","473,97","414,77","482,70","414,18","71,75M","15,13%"
"01.10.2023","411,69","377,48","418,84","344,73","164,04M","9,03%"
"01.09.2023","377,60","437,73","453,45","371,10","100,32M","-12,93%"
"01.08.2023","433,68","437,37","445,25","398,15","107,35M","-1,21%"
"01.07.2023","438,97","439,76","485,00","411,88","168,82M","-0,35%"
"01.06.2023","440,49","397,41","448,65","393,08","147,28M","11,45%"
"01.05.2023","395,23","329,43","405,11","315,62","145,49M","19,79%"
"01.04.2023","329,93","341,83","349,80","316,10","127,99M","-4,50%"
"01.03.2023","345,48","321,55","345,84","285,33","157,59M","7,25%"
"01.02.2023","322,13","353,86","379,43","314,30","123,38M","-8,97%"
"01.01.2023","353,86","298,06","369,02","288,70","206,42M","20,00%"
