"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2024","10,36","12,13","12,38","10,18","923,88M","-17,32%"
"01.11.2024","12,53","15,05","16,15","12,37","848,28M","-16,96%"
"01.10.2024","15,09","13,70","15,98","12,89","536,14M","10,55%"
"01.09.2024","13,65","14,74","15,16","13,42","652,67M","-8,82%"
"01.08.2024","14,97","12,07","15,06","9,67","1,40B","23,41%"
"01.07.2024","12,13","12,92","13,64","11,96","505,69M","-5,90%"
"01.06.2024","12,89","11,89","13,01","11,27","637,31M","8,50%"
"01.05.2024","11,88","10,83","12,49","10,56","548,34M","9,39%"
"01.04.2024","10,86","12,00","12,15","10,43","395,52M","-8,97%"
"01.03.2024","11,93","11,19","12,39","10,93","580,12M","7,67%"
"01.02.2024","11,08","8,83","11,23","8,72","775,41M","28,69%"
"01.01.2024","8,61","8,27","9,51","8,06","733,18M","3,36%"
"01.12.2023","8,33","8,14","8,68","8,08","360,46M","2,33%"
"01.11.2023","8,14","8,22","8,87","7,74","698,66M","-0,73%"
"01.10.2023","8,20","7,24","8,42","6,80","512,47M","13,10%"
"01.09.2023","7,25","7,00","7,66","6,67","509,21M","5,84%"
"01.08.2023","6,85","7,83","8,20","6,61","587,21M","-13,94%"
"01.07.2023","7,96","7,93","8,29","7,54","402,99M","0,89%"
"01.06.2023","7,89","6,65","8,06","6,61","648,42M","17,06%"
"01.05.2023","6,74","5,19","7,09","5,14","751,86M","30,62%"
"01.04.2023","5,16","4,64","5,20","4,34","313,78M","8,40%"
"01.03.2023","4,76","4,99","5,10","4,13","532,96M","-5,56%"
"01.02.2023","5,04","4,65","5,53","4,53","630,75M","8,39%"
"01.01.2023","4,65","3,91","4,72","3,39","541,24M","14,25%"
