DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7910120,3,3,1.0,1.0,1,1,2,1,3,,,4
7910186,2,2,9.0,2.0,1,1,2,1,3,,,4
7910187,2,2,4.0,2.0,1,1,2,2,1,,,4
7910280,2,2,2.0,2.0,2,1,2,2,1,1.0,70000.0,1
7910283,3,1,,2.0,1,1,2,2,1,1.0,41582.0,1
7910303,3,3,9.0,2.0,1,1,2,3,1,1.0,50000.0,1
7910309,3,2,9.0,2.0,1,1,2,2,1,1.0,25000.0,1
7910311,3,3,2.0,2.0,1,1,2,1,1,1.0,22000.0,1
7910315,2,1,,2.0,1,1,2,2,1,1.0,25000.0,1
7910318,3,3,3.0,2.0,1,1,2,1,3,3.0,,3
7910362,2,3,9.0,2.0,1,1,2,3,2,1.0,15000.0,4
7910365,2,2,4.0,2.0,2,1,2,2,1,2.0,,2
7910390,3,2,9.0,2.0,1,1,2,2,1,1.0,16236.0,4
7910405,2,3,9.0,2.0,1,1,2,1,3,1.0,10233.0,4
7910406,2,3,1.0,2.0,1,1,2,1,1,1.0,35000.0,1
7910409,2,2,3.0,2.0,2,1,2,1,2,2.0,,2
7910415,2,2,9.0,2.0,1,2,2,2,1,1.0,30000.0,4
7910416,3,3,9.0,2.0,1,2,2,2,1,1.0,50000.0,4
7910417,3,3,9.0,2.0,1,1,2,2,1,1.0,50000.0,1
7910429,3,3,5.0,2.0,1,1,2,1,1,1.0,18000.0,1
7910431,3,3,3.0,2.0,1,1,2,1,1,1.0,70000.0,1
7910432,3,2,3.0,2.0,1,1,2,2,1,1.0,35000.0,3
7910433,3,3,4.0,2.0,2,1,2,1,1,1.0,230000.0,1
7910440,2,2,8.0,2.0,2,1,2,2,1,1.0,120000.0,1
7910443,3,2,1.0,2.0,2,1,2,3,1,1.0,30000.0,1
7910463,2,2,3.0,2.0,2,1,2,1,3,,,4
7910464,2,3,2.0,2.0,1,1,2,1,3,,,4
7910465,2,2,1.0,2.0,1,1,2,1,3,,,4
7910475,3,2,1.0,2.0,1,1,2,3,1,1.0,51774.0,3
7910476,3,3,1.0,2.0,2,1,2,1,1,1.0,50000.0,1
7910485,2,2,6.0,2.0,2,1,2,2,2,2.0,,3
7910515,3,3,2.0,2.0,2,1,2,1,1,1.0,50000.0,1
7910520,3,3,9.0,1.0,2,1,2,1,1,1.0,29500.0,1
7910524,2,2,3.0,2.0,2,1,2,3,1,1.0,50000.0,1
7910548,3,3,9.0,2.0,3,1,2,1,3,,,4
7910569,3,3,10.0,2.0,1,2,2,1,3,,,4
7910573,2,1,,2.0,1,1,1,2,3,,,4
7910586,2,2,4.0,9.0,1,1,2,1,1,,,4
7910590,2,2,9.0,2.0,2,1,2,1,1,1.0,37000.0,1
7910592,2,2,9.0,2.0,1,1,2,2,1,1.0,50000.0,4
7910594,2,2,9.0,2.0,1,1,2,4,1,1.0,26000.0,1
7910596,2,2,9.0,1.0,1,1,2,3,1,1.0,170000.0,4
7910602,2,2,2.0,2.0,1,1,2,1,1,1.0,21000.0,1
7910617,2,2,9.0,2.0,3,1,2,1,1,,,4
7910627,2,2,10.0,2.0,1,1,2,2,1,1.0,32000.0,1
7910628,2,2,3.0,2.0,3,1,1,1,2,,,2
7910630,3,2,2.0,2.0,3,1,2,1,2,,,2
7910634,2,2,2.0,2.0,1,1,2,2,3,,,4
7910640,3,2,9.0,1.0,1,1,2,1,3,,,4
7910643,2,2,1.0,2.0,1,1,2,2,3,,,4
7910645,2,2,2.0,1.0,1,1,2,1,3,,,4
7910646,3,3,9.0,2.0,1,1,2,1,1,,,4
7910647,3,2,9.0,1.0,1,1,2,1,1,,,4
7910648,3,2,2.0,2.0,1,1,2,2,1,1.0,25000.0,4
7910655,3,2,9.0,2.0,3,1,2,1,2,,,4
7910656,2,2,9.0,2.0,1,1,2,2,3,,,4
7910657,3,2,1.0,2.0,1,1,2,4,1,1.0,25000.0,4
7910658,2,3,9.0,1.0,3,1,2,3,3,1.0,70000.0,3
7910662,3,3,9.0,2.0,2,1,2,1,1,,,4
7910663,3,2,1.0,2.0,2,1,2,1,1,1.0,25000.0,4
7910670,2,3,9.0,2.0,1,1,2,2,1,1.0,45000.0,1
7910684,3,2,9.0,2.0,4,2,2,1,3,,,4
7910685,2,2,2.0,1.0,1,1,2,1,1,,,4
7910687,3,1,,2.0,1,1,2,2,1,1.0,28000.0,1
7910688,2,2,9.0,2.0,4,1,2,2,3,,,4
7910690,3,3,3.0,2.0,1,1,2,2,1,1.0,25000.0,3
7910691,2,2,2.0,2.0,1,1,2,1,3,1.0,20000.0,4
7910694,2,2,4.0,2.0,1,1,2,2,1,1.0,30000.0,1
7910705,2,2,1.0,2.0,1,1,2,2,1,1.0,16912.0,1
7910708,3,3,9.0,2.0,1,2,2,1,1,,,1
7910721,2,2,1.0,2.0,1,1,2,3,1,1.0,70000.0,1
7910734,3,2,2.0,2.0,2,1,2,1,1,1.0,50000.0,1
7910736,2,2,1.0,2.0,4,2,2,3,3,,,4
7910739,2,2,9.0,1.0,1,1,2,3,1,1.0,23000.0,1
7910747,3,3,2.0,2.0,1,1,2,5,1,1.0,50000.0,3
